"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",17.279,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",21.247,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",19.829,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",18.295,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",17.97,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",18.309,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",15.469,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",17.487,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",21.478,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",26.503,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",28.375,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",25.995,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",13.944,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",13.18,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",13.939,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",16.759,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",15.47,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",15.891,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",16.349,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",17.186,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",17.494,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",17.641,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",17.977,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",5.783,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",7.464,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",8.358,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",9.162,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.979,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",11.195,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",11.19,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",12.022,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.653,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",10.454,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.043,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.376,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",10.047,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.723,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.508,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.967,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",11.892,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",12.917,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",13.838,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",16.221,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",18.209,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.391,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.83,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.547,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",11.51,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",12.543,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",13.606,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",14.364,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",14.989,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",4.411,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",7.35,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",7.757,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",8.112,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",10.125,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.935,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.283,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",10.811,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",10.757,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",10.707,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.491,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.232,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",3.745,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",5.553,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",5.961,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",6.523,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",7.074,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",7.435,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.651,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",7.806,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.178,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",8.052,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",8.053,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",7.972,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",10.9,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.779,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.842,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",9.876,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",9.892,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",10.201,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",8.768,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",9.175,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",9.185,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",9.756,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",8.897,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",7.159,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",6.986,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",7.073,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",7.23,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.682,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",8.037,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.373,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",9.966,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.106,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",11.241,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",4.186,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",4.194,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",3.205,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",3.345,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",3.41,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",3.433,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",3.499,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",2.795,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",3.119,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",4.667,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",4.935,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",5.299,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",5.764,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",7.044,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.054,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",8.856,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",9.974,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",11.411,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",12.605,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",13.476,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",4.925,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",5.832,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",5.084,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",6.54,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",7.397,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.957,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",6.778,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",6.851,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",8.018,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",8.449,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",8.511,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",6.449,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",6.99,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.368,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",8.188,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.88,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",9.638,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.715,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.199,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",4.41,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",4.95,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",5.102,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",5.311,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",5.623,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",2.831,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",2.881,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",3.428,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",3.435,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",3.432,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",3.729,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",4.265,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",4.732,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",5.238,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",5.731,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",0.483,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",1.811,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",1.869,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",1.772,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",1.662,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",1.581,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",1.669,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",1.931,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",2.257,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",2.748,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",3.256,
"KOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",3.726,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",43.524,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",43.857,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",45.867,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",46.995,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",46.727,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",47.735,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",48.648,
"LUX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",48.388,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",0.243,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",0.132,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",0.284,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",0.298,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",0.567,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",0.158,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",0.707,
"MEX","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",0.881,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",4.354,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",5.744,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",8.459,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",10.218,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",10.067,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.229,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",10.744,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",10.999,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",11.769,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",12.673,
"NLD","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",13.321,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",16.694,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",14.256,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",15.603,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",15.836,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",16.088,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",18.73,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",21.139,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",19.839,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",19.609,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",19.68,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",20.769,
"NZL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",17.485,
"NOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",2.4,
"NOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",2.705,
"NOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",2.806,
"NOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",3.056,
"NOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",3.615,
"NOR","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",3.565,
